datetime,open,high,low,close,volume
2021-08-10 04:00:00,2.481,3.88,2.481,3.239,13735869.8
2021-08-10 08:00:00,3.238,3.262,2.813,2.933,6407354.5
2021-08-10 12:00:00,2.937,3.244,2.87,3.106,4661527.5
2021-08-10 16:00:00,3.11,3.2,2.9,3.125,2919973.8
2021-08-10 20:00:00,3.128,3.408,3.057,3.237,3823632.0
2021-08-11 00:00:00,3.237,3.342,2.985,3.18,2019193.2
2021-08-11 04:00:00,3.169,3.295,3.025,3.099,2523814.3
2021-08-11 08:00:00,3.099,3.185,3.056,3.098,1332405.3
2021-08-11 12:00:00,3.098,3.15,3.036,3.04,1012827.7
2021-08-11 16:00:00,3.04,3.104,2.965,3.024,1210499.6
2021-08-11 20:00:00,3.023,3.05,2.9,2.91,986094.3
2021-08-12 00:00:00,2.912,3.05,2.825,2.899,1415109.5
2021-08-12 04:00:00,2.899,2.917,2.721,2.835,1066018.3
2021-08-12 08:00:00,2.835,2.94,2.8,2.845,709217.4
2021-08-12 12:00:00,2.844,2.855,2.668,2.718,1112208.0
2021-08-12 16:00:00,2.718,2.938,2.662,2.929,947909.9
2021-08-12 20:00:00,2.928,2.938,2.731,2.852,545201.7
2021-08-13 00:00:00,2.85,2.898,2.8,2.872,243306.6
2021-08-13 04:00:00,2.877,3.067,2.877,3.063,490828.7
2021-08-13 08:00:00,3.064,3.1,3.001,3.001,867822.0
2021-08-13 12:00:00,3.002,3.151,2.967,3.11,1274577.2
2021-08-13 16:00:00,3.114,3.132,3.001,3.011,608475.4
2021-08-13 20:00:00,3.014,3.148,3.011,3.147,690468.3
2021-08-14 00:00:00,3.148,3.151,3.02,3.051,480795.9
2021-08-14 04:00:00,3.048,3.094,3.002,3.083,434676.2
2021-08-14 08:00:00,3.082,3.092,2.853,2.97,976529.2
2021-08-14 12:00:00,2.972,3.0,2.87,2.985,540329.6
2021-08-14 16:00:00,2.983,2.997,2.939,2.978,291983.1
2021-08-14 20:00:00,2.978,2.99,2.9,2.979,319857.0
2021-08-15 00:00:00,2.979,2.997,2.92,2.923,234875.3
2021-08-15 04:00:00,2.923,2.932,2.821,2.836,339302.5
2021-08-15 08:00:00,2.835,2.944,2.817,2.92,447475.9
2021-08-15 12:00:00,2.916,2.921,2.87,2.897,343910.7
2021-08-15 16:00:00,2.893,2.92,2.87,2.913,303384.7
2021-08-15 20:00:00,2.912,3.15,2.905,3.142,1047333.7
2021-08-16 00:00:00,3.139,3.25,3.056,3.109,1111871.6
2021-08-16 04:00:00,3.104,3.666,3.103,3.441,3717902.0
2021-08-16 08:00:00,3.444,3.58,3.307,3.464,1962916.2
2021-08-16 12:00:00,3.461,3.5,3.25,3.352,1915226.7
2021-08-16 16:00:00,3.352,3.5,3.301,3.316,1162187.3
2021-08-16 20:00:00,3.312,3.48,3.16,3.368,1282417.9
2021-08-17 00:00:00,3.368,3.5,3.201,3.463,1092247.7
2021-08-17 04:00:00,3.468,3.542,3.257,3.363,1066283.5
2021-08-17 08:00:00,3.363,3.48,3.362,3.424,855085.5
2021-08-17 12:00:00,3.417,3.6,3.344,3.43,2402108.8
2021-08-17 16:00:00,3.429,3.49,3.38,3.381,832930.2
2021-08-17 20:00:00,3.386,3.391,3.12,3.198,1277055.0
2021-08-18 00:00:00,3.197,3.295,3.11,3.233,630841.3
2021-08-18 04:00:00,3.223,3.284,3.153,3.167,577002.8
2021-08-18 08:00:00,3.167,3.249,3.011,3.043,853338.0
2021-08-18 12:00:00,3.041,3.27,3.0,3.266,950734.6
2021-08-18 16:00:00,3.268,3.309,3.109,3.136,1296969.6
2021-08-18 20:00:00,3.136,3.199,3.08,3.087,549982.3
2021-08-19 00:00:00,3.086,3.167,3.024,3.059,572682.0
2021-08-19 04:00:00,3.061,3.106,3.0,3.061,677145.2
2021-08-19 08:00:00,3.057,3.108,3.0,3.031,639548.1
2021-08-19 12:00:00,3.038,3.2,3.0,3.168,1009858.0
2021-08-19 16:00:00,3.169,3.34,3.114,3.29,900941.4
2021-08-19 20:00:00,3.29,3.333,3.2,3.25,534213.7
2021-08-20 00:00:00,3.251,3.375,3.233,3.308,471235.1
2021-08-20 04:00:00,3.304,3.322,3.2,3.207,583507.9
2021-08-20 08:00:00,3.207,3.226,3.13,3.169,881610.6
2021-08-20 12:00:00,3.165,3.34,3.152,3.329,1246612.7
2021-08-20 16:00:00,3.326,3.369,3.184,3.264,1188726.1
2021-08-20 20:00:00,3.264,3.338,3.188,3.234,707805.8
2021-08-21 00:00:00,3.228,3.27,3.161,3.205,518131.0
2021-08-21 04:00:00,3.205,3.27,3.165,3.231,639001.1
2021-08-21 08:00:00,3.229,3.247,2.939,3.058,2712361.5
2021-08-21 12:00:00,3.055,3.18,3.05,3.119,668363.5
2021-08-21 16:00:00,3.119,3.143,3.04,3.044,543990.7
2021-08-21 20:00:00,3.045,3.152,3.044,3.126,457361.7
2021-08-22 00:00:00,3.126,3.136,3.05,3.111,266338.7
2021-08-22 04:00:00,3.111,3.249,3.095,3.166,636597.3
2021-08-22 08:00:00,3.165,3.224,3.12,3.155,508992.2
2021-08-22 12:00:00,3.153,3.2,3.07,3.08,860990.0
2021-08-22 16:00:00,3.081,3.149,3.08,3.102,558002.3
2021-08-22 20:00:00,3.101,3.136,3.051,3.131,770211.6
2021-08-23 00:00:00,3.13,3.326,3.128,3.317,1180424.1
2021-08-23 04:00:00,3.319,3.34,3.155,3.205,1203507.8
2021-08-23 08:00:00,3.202,3.288,3.19,3.227,729316.0
2021-08-23 12:00:00,3.23,3.234,3.105,3.127,853144.2
2021-08-23 16:00:00,3.123,3.209,3.112,3.13,536145.3
2021-08-23 20:00:00,3.13,3.168,3.107,3.153,377085.7
2021-08-24 00:00:00,3.153,3.21,3.078,3.155,515478.3
2021-08-24 04:00:00,3.153,3.2,3.135,3.144,393709.0
2021-08-24 08:00:00,3.151,3.168,3.09,3.11,661328.1
2021-08-24 12:00:00,3.108,3.108,2.931,2.947,1147131.7
2021-08-24 16:00:00,2.946,3.041,2.888,2.926,1027876.7
2021-08-24 20:00:00,2.926,2.987,2.88,2.897,575214.8
2021-08-25 00:00:00,2.9,3.033,2.89,2.914,500191.7
2021-08-25 04:00:00,2.911,2.946,2.87,2.876,543347.4
2021-08-25 08:00:00,2.874,2.888,2.76,2.84,1222327.8
2021-08-25 12:00:00,2.84,2.989,2.833,2.959,1042301.1
2021-08-25 16:00:00,2.958,3.11,2.958,3.028,1113483.6
2021-08-25 20:00:00,3.028,3.047,2.899,2.942,663737.1
2021-08-26 00:00:00,2.942,3.018,2.851,2.861,663913.1
2021-08-26 04:00:00,2.861,2.867,2.652,2.715,2470895.1
2021-08-26 08:00:00,2.715,2.79,2.69,2.721,1505119.4
2021-08-26 12:00:00,2.721,2.784,2.655,2.724,1342368.2
2021-08-26 16:00:00,2.73,2.743,2.672,2.702,1154134.9
2021-08-26 20:00:00,2.702,2.745,2.694,2.704,485457.4
2021-08-27 00:00:00,2.702,2.768,2.65,2.699,464223.3
2021-08-27 04:00:00,2.699,2.871,2.68,2.869,1585472.6
2021-08-27 08:00:00,2.866,2.934,2.71,2.877,2136712.0
2021-08-27 12:00:00,2.88,2.956,2.78,2.896,1010592.1
2021-08-27 16:00:00,2.898,2.91,2.84,2.889,501781.4
2021-08-27 20:00:00,2.893,2.997,2.847,2.962,887379.7
2021-08-28 00:00:00,2.962,3.077,2.94,2.953,691382.5
2021-08-28 04:00:00,2.953,2.989,2.898,2.964,419917.7
2021-08-28 08:00:00,2.963,2.964,2.882,2.889,502491.6
2021-08-28 12:00:00,2.889,2.928,2.836,2.915,655086.0
2021-08-28 16:00:00,2.915,2.98,2.882,2.898,590872.7
2021-08-28 20:00:00,2.895,2.978,2.88,2.917,399895.6
2021-08-29 00:00:00,2.916,2.951,2.765,2.793,554151.3
2021-08-29 04:00:00,2.793,2.886,2.75,2.806,839878.9
2021-08-29 08:00:00,2.806,2.83,2.78,2.782,387979.1
2021-08-29 12:00:00,2.782,2.896,2.773,2.855,692982.9
2021-08-29 16:00:00,2.855,2.9,2.806,2.848,673494.1
2021-08-29 20:00:00,2.848,2.959,2.833,2.887,594533.0
2021-08-30 00:00:00,2.887,2.897,2.8,2.809,458141.5
2021-08-30 04:00:00,2.809,2.846,2.78,2.822,549246.7
2021-08-30 08:00:00,2.821,2.836,2.78,2.823,581376.5
2021-08-30 12:00:00,2.826,3.45,2.78,3.382,5740376.0
2021-08-30 16:00:00,3.381,3.949,3.308,3.351,13117971.2
2021-08-30 20:00:00,3.35,3.65,3.18,3.245,3893147.6
2021-08-31 00:00:00,3.245,3.614,3.155,3.307,2862235.2
2021-08-31 04:00:00,3.306,3.489,3.18,3.354,2520747.4
2021-08-31 08:00:00,3.354,3.789,3.219,3.724,3688236.0
2021-08-31 12:00:00,3.722,3.8,3.408,3.443,6282884.7
2021-08-31 16:00:00,3.441,3.51,3.259,3.39,2098570.6
2021-08-31 20:00:00,3.39,3.744,3.35,3.589,2759456.3
2021-09-01 00:00:00,3.587,3.667,3.4,3.53,2001221.5
2021-09-01 04:00:00,3.531,3.85,3.458,3.824,3211955.1
2021-09-01 08:00:00,3.82,4.644,3.743,4.179,17066850.3
2021-09-01 12:00:00,4.175,4.488,4.13,4.463,5586061.8
2021-09-01 16:00:00,4.46,4.677,4.08,4.141,6376333.2
2021-09-01 20:00:00,4.141,4.275,4.062,4.11,2157794.1
2021-09-02 00:00:00,4.116,4.236,3.949,4.071,2262318.2
2021-09-02 04:00:00,4.077,4.274,3.991,4.16,2409915.4
2021-09-02 08:00:00,4.157,4.22,4.08,4.141,1828423.0
2021-09-02 12:00:00,4.14,4.141,3.98,4.015,1701674.1
2021-09-02 16:00:00,4.014,4.072,3.846,3.885,1891949.5
2021-09-02 20:00:00,3.887,3.969,3.825,3.956,1875075.8
2021-09-03 00:00:00,3.956,3.967,3.792,3.835,1470150.2
2021-09-03 04:00:00,3.836,3.957,3.801,3.811,1562559.6
2021-09-03 08:00:00,3.812,4.16,3.809,3.959,3974599.9
2021-09-03 12:00:00,3.958,4.057,3.89,4.008,2414273.8
2021-09-03 16:00:00,4.005,4.031,3.84,3.851,1391700.2
2021-09-03 20:00:00,3.852,3.895,3.8,3.848,1214714.6
2021-09-04 00:00:00,3.848,3.968,3.8,3.84,1191424.3
2021-09-04 04:00:00,3.84,3.864,3.75,3.807,1326059.2
2021-09-04 08:00:00,3.805,3.924,3.75,3.823,1636133.3
2021-09-04 12:00:00,3.823,4.12,3.817,3.964,2753268.6
2021-09-04 16:00:00,3.964,4.027,3.816,3.826,1612142.8
2021-09-04 20:00:00,3.825,3.873,3.78,3.796,700717.6
2021-09-05 00:00:00,3.796,3.895,3.76,3.868,554005.0
2021-09-05 04:00:00,3.867,3.98,3.856,3.904,958852.3
2021-09-05 08:00:00,3.903,4.204,3.842,4.196,3977636.2
2021-09-05 12:00:00,4.199,4.449,4.067,4.124,5849595.2
2021-09-05 16:00:00,4.12,4.178,4.06,4.082,1435939.5
