datetime,open,high,low,close,volume
2023-02-24,36.46,98.0,35.9,37.85,252095.82
2023-02-25,37.89,41.74,36.0,40.0,494269.157
2023-02-26,40.01,46.0,39.65,44.82,437756.477
2023-02-27,44.82,49.9,42.81,48.97,492172.761
2023-02-28,49.05,49.9,40.69,41.91,706568.062
2023-03-01,41.91,47.13,40.85,42.77,638483.798
2023-03-02,42.78,44.5,38.56,41.03,418454.411
2023-03-03,41.03,45.9,36.23,39.76,1244711.791
2023-03-04,39.75,41.42,35.01,38.42,632859.024
2023-03-05,38.42,40.21,35.36,38.72,670337.526
2023-03-06,38.73,39.37,36.67,38.85,316760.634
2023-03-07,38.84,41.01,38.07,39.58,515334.818
2023-03-08,39.6,41.96,36.21,37.69,545313.023
2023-03-09,37.65,38.39,35.09,35.25,441315.205
2023-03-10,35.27,35.51,29.33,33.12,1115177.883
2023-03-11,33.12,34.29,28.4,31.71,929230.72
2023-03-12,31.7,35.91,29.73,35.62,917286.075
2023-03-13,35.62,41.79,35.02,39.05,1469207.578
2023-03-14,39.04,43.0,37.2,39.35,866488.837
2023-03-15,39.34,41.52,34.55,36.29,692410.426
2023-03-16,36.25,39.43,35.13,38.87,562638.169
2023-03-17,38.9,41.06,36.7,40.02,700806.811
2023-03-18,40.04,40.98,36.83,37.54,602461.731
2023-03-19,37.51,40.89,37.16,39.34,479767.486
2023-03-20,39.35,39.84,35.22,36.03,428318.728
2023-03-21,36.03,38.8,34.58,38.28,533343.968
2023-03-22,38.32,39.14,33.96,36.41,577597.766
2023-03-23,36.36,37.48,34.53,36.01,428975.731
2023-03-24,36.02,36.28,33.52,34.39,315649.731
2023-03-25,34.39,35.54,33.33,34.31,262547.253
2023-03-26,34.32,38.5,33.87,37.79,505309.795
2023-03-27,37.79,38.98,34.5,35.51,787198.062
2023-03-28,35.52,38.65,34.42,37.89,587094.182
2023-03-29,37.9,39.38,36.71,37.19,596812.286
2023-03-30,37.18,38.27,34.6,35.46,560101.646
2023-03-31,35.46,39.2,35.2,37.96,551219.673
