datetime,open,high,low,close,volume
2020-11-24,0.1437,0.2,0.1437,0.1657,5208144.17
2020-11-25,0.1657,0.2172,0.15,0.1831,44821189.96
2020-11-26,0.1826,0.2,0.1419,0.159,26948261.94
2020-11-27,0.159,0.1745,0.1516,0.1745,9945357.77
2020-11-28,0.1737,0.1909,0.1701,0.1818,21958145.62
2020-11-29,0.181,0.187,0.169,0.1787,9924137.05
2020-11-30,0.1787,0.191,0.1709,0.1892,9052585.35
2020-12-01,0.1893,0.1971,0.17,0.1899,11195553.75
2020-12-02,0.1896,0.208,0.1834,0.2014,9352293.12
2020-12-03,0.2017,0.222,0.1995,0.2188,18233298.33
2020-12-04,0.2189,0.2727,0.2131,0.2418,105517353.7
2020-12-05,0.2415,0.28,0.2334,0.2609,50169224.05
2020-12-06,0.2612,0.2625,0.2315,0.249,24353633.18
2020-12-07,0.2488,0.2575,0.2242,0.236,16903007.18
2020-12-08,0.2363,0.237,0.2052,0.2221,31222855.44
2020-12-09,0.2213,0.231,0.186,0.217,32398983.55
2020-12-10,0.217,0.2343,0.2093,0.2173,21142984.87
2020-12-11,0.2173,0.2179,0.195,0.2042,19305547.82
2020-12-12,0.2038,0.2655,0.2038,0.2641,76495806.55
2020-12-13,0.264,0.2754,0.2489,0.255,43712387.37
2020-12-14,0.2549,0.2616,0.2338,0.2486,25421960.41
2020-12-15,0.2487,0.2549,0.2372,0.2465,15231751.44
2020-12-16,0.2468,0.2612,0.2344,0.257,26756605.96
2020-12-17,0.257,0.2964,0.2472,0.2807,52578942.85
2020-12-18,0.2804,0.3157,0.2659,0.3043,61827005.05
2020-12-19,0.3038,0.32,0.294,0.2977,39502925.93
2020-12-20,0.2977,0.3044,0.2745,0.29,21482918.75
2020-12-21,0.29,0.3118,0.2598,0.2744,31980454.95
2020-12-22,0.2745,0.2825,0.2562,0.2777,27133649.59
2020-12-23,0.278,0.2996,0.196,0.2328,56418545.63
2020-12-24,0.2328,0.2646,0.191,0.2567,103502085.72
2020-12-25,0.257,0.2724,0.2352,0.2441,41885165.89
2020-12-26,0.2447,0.2579,0.2317,0.2364,24831698.03
2020-12-27,0.2362,0.244,0.212,0.2356,41781282.53
2020-12-28,0.2363,0.2427,0.2282,0.23,23423988.51
2020-12-29,0.23,0.2364,0.2081,0.2228,28842477.08
2020-12-30,0.223,0.2276,0.19,0.1954,35792944.86
2020-12-31,0.1955,0.2075,0.1747,0.2057,60724653.09
2021-01-01,0.2056,0.2461,0.2054,0.2217,61958039.3
2021-01-02,0.222,0.2225,0.199,0.2031,31598903.12
2021-01-03,0.2031,0.2198,0.1875,0.211,57749019.12
2021-01-04,0.211,0.223,0.18,0.2045,60160618.29
2021-01-05,0.2046,0.2154,0.1927,0.2048,35599786.43
2021-01-06,0.2048,0.294,0.198,0.2559,190437366.01
2021-01-07,0.2558,0.28,0.2358,0.2449,83147158.17
2021-01-08,0.2449,0.269,0.216,0.231,76707924.75
2021-01-09,0.231,0.2479,0.2216,0.2389,41841046.84
2021-01-10,0.2389,0.2555,0.211,0.2333,52288383.99
2021-01-11,0.2332,0.2333,0.1881,0.2123,56478880.89
2021-01-12,0.212,0.2289,0.2022,0.2131,41015566.45
2021-01-13,0.2132,0.2314,0.2032,0.229,99767861.38
2021-01-14,0.2291,0.2333,0.2191,0.2275,85248615.49
2021-01-15,0.2275,0.2301,0.2042,0.2136,80272367.01
2021-01-16,0.2136,0.23,0.2098,0.2171,72612628.0
2021-01-17,0.2171,0.2339,0.2125,0.2233,68094431.85
2021-01-18,0.2232,0.242,0.2181,0.2359,69841121.68
2021-01-19,0.2359,0.259,0.2344,0.2471,109367500.23
2021-01-20,0.2468,0.2493,0.2181,0.2391,80123847.63
2021-01-21,0.239,0.2394,0.2075,0.2113,36252989.63
2021-01-22,0.2118,0.2247,0.1944,0.2162,35542859.69
2021-01-23,0.216,0.23,0.2082,0.2155,25650646.4
2021-01-24,0.2155,0.2237,0.2099,0.2134,29359124.97
2021-01-25,0.2135,0.2287,0.2131,0.2212,34938060.1
2021-01-26,0.2212,0.2463,0.2193,0.246,85195387.65
2021-01-27,0.2461,0.2577,0.2207,0.2322,82814162.62
2021-01-28,0.2322,0.2403,0.226,0.2334,46523457.9
2021-01-29,0.2335,0.2498,0.2275,0.235,84220190.58
2021-01-30,0.235,0.2379,0.2205,0.232,49106684.03
2021-01-31,0.2322,0.2416,0.2263,0.2358,45345949.59
2021-02-01,0.2361,0.2788,0.2302,0.267,128768167.58
2021-02-02,0.267,0.2939,0.2544,0.2773,110971297.07
2021-02-03,0.2777,0.2886,0.27,0.2868,52846282.26
2021-02-04,0.2868,0.2899,0.2599,0.2657,62495180.09
2021-02-05,0.2657,0.289,0.2647,0.2889,47999645.17
2021-02-06,0.2888,0.2938,0.2688,0.2755,50038649.01
2021-02-07,0.2755,0.3217,0.271,0.3105,89560254.6
2021-02-08,0.3103,0.361,0.3069,0.3283,151702498.21
2021-02-09,0.3286,0.3424,0.3201,0.3368,64906833.19
2021-02-10,0.3367,0.3821,0.32,0.3714,105202424.82
2021-02-11,0.3713,0.412,0.3637,0.4006,80070580.72
2021-02-12,0.4005,0.4195,0.3756,0.401,82882109.54
2021-02-13,0.4015,0.43,0.37,0.4028,95162605.03
2021-02-14,0.4029,0.4057,0.357,0.3691,68010963.79
2021-02-15,0.3689,0.41,0.32,0.3826,76072129.12
2021-02-16,0.383,0.398,0.365,0.3801,42669726.97
2021-02-17,0.3802,0.4049,0.364,0.3964,47491415.85
2021-02-18,0.3967,0.4384,0.3945,0.4351,67144097.89
2021-02-19,0.4345,0.528,0.4104,0.5256,95283161.33
2021-02-20,0.526,0.5641,0.4602,0.5061,90504147.52
2021-02-21,0.5062,0.5787,0.4964,0.563,61031444.29
2021-02-22,0.5629,0.768,0.43,0.7006,269187929.34
2021-02-23,0.7005,0.7409,0.4363,0.5339,554870337.87
2021-02-24,0.5339,0.5592,0.4899,0.5283,150159290.49
2021-02-25,0.5289,0.5462,0.4883,0.4927,64044837.22
2021-02-26,0.4926,0.5734,0.425,0.5153,202993523.0
2021-02-27,0.5154,0.62,0.504,0.5754,149622740.93
2021-02-28,0.5761,0.6211,0.5156,0.6095,192505116.22
2021-03-01,0.6095,0.68,0.5815,0.6497,151241426.44
2021-03-02,0.6499,0.777,0.6328,0.7674,235298337.64
2021-03-03,0.768,0.8645,0.7564,0.7881,244635880.3
2021-03-04,0.788,0.8,0.6691,0.7049,190049093.18
2021-03-05,0.7047,0.7509,0.6458,0.7199,152742225.73
2021-03-06,0.7197,0.8,0.7006,0.7337,171006116.19
2021-03-07,0.7346,0.7631,0.7084,0.7162,101728648.74
2021-03-08,0.7162,0.732,0.68,0.7186,156594640.31
2021-03-09,0.7187,0.73,0.696,0.703,135606325.14
2021-03-10,0.7026,0.7033,0.5528,0.6164,446689109.13
2021-03-11,0.6165,0.64,0.5625,0.5913,245561531.6
2021-03-12,0.5913,0.61,0.3225,0.3875,1569891012.29
2021-03-13,0.3874,0.3953,0.35,0.3625,546193730.52
2021-03-14,0.3625,0.3666,0.3303,0.3303,314110825.93
2021-03-15,0.3304,0.38,0.3235,0.3724,571617061.77
2021-03-16,0.3722,0.4184,0.35,0.3943,555371665.95
2021-03-17,0.3943,0.408,0.3635,0.3917,257413330.4
2021-03-18,0.3917,0.3937,0.3702,0.3736,156273581.21
2021-03-19,0.3736,0.3933,0.3601,0.378,156385759.98
2021-03-20,0.378,0.3843,0.362,0.3629,110697907.7
2021-03-21,0.3628,0.3724,0.3422,0.3669,107815458.07
2021-03-22,0.367,0.3877,0.349,0.3554,160016887.72
2021-03-23,0.3557,0.3672,0.3453,0.356,95812861.63
2021-03-24,0.3557,0.3685,0.3113,0.3301,137887614.08
2021-03-25,0.33,0.337,0.3107,0.3194,114291631.15
2021-03-26,0.319,0.3479,0.3187,0.3427,100935607.02
2021-03-27,0.3426,0.351,0.3315,0.3454,83657743.06
2021-03-28,0.3454,0.366,0.3396,0.3582,111506776.7
2021-03-29,0.3584,0.3789,0.3502,0.374,112501502.52
2021-03-30,0.374,0.3955,0.3733,0.3825,135778399.8
2021-03-31,0.382,0.384,0.3434,0.3688,105103871.75
2021-04-01,0.3684,0.375,0.354,0.3609,92240805.44
2021-04-02,0.3609,0.371,0.3535,0.3599,97636374.13
2021-04-03,0.3599,0.407,0.357,0.3621,252602322.07
2021-04-04,0.3621,0.3919,0.3571,0.3875,111992439.07
2021-04-05,0.3878,0.43,0.3651,0.4219,249149518.16
2021-04-06,0.4217,0.4864,0.3924,0.4843,474837772.22
2021-04-07,0.4829,0.486,0.3452,0.3812,451773829.74
2021-04-08,0.3815,0.4198,0.3768,0.4143,175626901.68
2021-04-09,0.4143,0.427,0.3962,0.4054,110806330.99
2021-04-10,0.4053,0.4275,0.3995,0.4156,151963820.6
2021-04-11,0.4156,0.4561,0.4156,0.4417,221901149.84
2021-04-12,0.4421,0.4432,0.4109,0.4213,117480576.0
