datetime,open,high,low,close,volume
2021-11-04 08:00:00,0.023,16.79999,0.023,3.462,50352597.0
2021-11-04 09:00:00,3.46,3.46,2.80753,3.13903,22599156.0
2021-11-04 10:00:00,3.13778,3.265,2.855,2.86106,15621036.0
2021-11-04 11:00:00,2.87013,3.2299,2.85,3.13588,10681714.0
2021-11-04 12:00:00,3.13635,3.65999,3.02003,3.5412,21118938.0
2021-11-04 13:00:00,3.54781,3.58999,3.021,3.09508,13405136.0
2021-11-04 14:00:00,3.09333,3.10128,2.89,2.90042,7103396.0
2021-11-04 15:00:00,2.90215,2.9577,2.55244,2.61704,9294769.0
2021-11-04 16:00:00,2.61896,3.0468,2.50059,2.97741,11257762.0
2021-11-04 17:00:00,2.97546,3.48724,2.85694,3.29833,15644025.0
2021-11-04 18:00:00,3.29793,3.84467,3.06888,3.67208,21888118.0
2021-11-04 19:00:00,3.66761,3.96,3.42727,3.60632,26998682.0
2021-11-04 20:00:00,3.5999,3.60403,3.32274,3.3272,8343896.0
2021-11-04 21:00:00,3.32715,3.45,3.09172,3.26085,6248192.0
2021-11-04 22:00:00,3.26271,3.548,3.1888,3.26739,8553242.0
2021-11-04 23:00:00,3.26707,3.43,3.21148,3.30427,4159906.0
2021-11-05 00:00:00,3.30427,3.42565,2.98768,3.00262,4371797.0
2021-11-05 01:00:00,3.00262,3.19999,2.851,3.1991,3411882.0
2021-11-05 02:00:00,3.19912,3.2,2.94669,2.98894,2342598.0
2021-11-05 03:00:00,2.99197,3.02769,2.78384,2.92033,2502935.0
2021-11-05 04:00:00,2.92034,3.1,2.88,2.89367,2022549.0
2021-11-05 05:00:00,2.8943,3.07839,2.87,3.002,2193487.0
2021-11-05 06:00:00,3.002,3.067,2.91153,2.99865,2017451.0
2021-11-05 07:00:00,2.99865,3.06,2.9571,2.96898,2252678.0
2021-11-05 08:00:00,2.96719,2.98818,2.73059,2.75232,3741207.0
2021-11-05 09:00:00,2.75492,2.82308,2.7,2.73602,2416313.0
