datetime,open,high,low,close,volume
2023-10-31 16:00:00,2.877,2.9999,1.9,2.2431,32038089.2
2023-10-31 17:00:00,2.2426,2.28,2.1165,2.1989,5830538.0
2023-10-31 18:00:00,2.1981,2.347,2.12,2.28,5802330.9
2023-10-31 19:00:00,2.2807,2.47,2.2089,2.4442,6208734.7
2023-10-31 20:00:00,2.4444,2.5,2.32,2.3637,3909748.1
2023-10-31 21:00:00,2.3627,2.4619,2.34,2.4365,2118170.1
2023-10-31 22:00:00,2.4343,2.4799,2.3252,2.39,2316176.6
2023-10-31 23:00:00,2.3901,2.4299,2.2367,2.278,2092126.8
2023-11-01 00:00:00,2.2776,2.388,2.2419,2.3524,2122768.8
2023-11-01 01:00:00,2.3524,2.3999,2.28,2.3195,1328405.0
2023-11-01 02:00:00,2.3188,2.3569,2.2304,2.2631,1885484.0
2023-11-01 03:00:00,2.2615,2.295,2.1611,2.2822,2016163.8
2023-11-01 04:00:00,2.2823,2.3149,2.2415,2.2576,1342111.4
2023-11-01 05:00:00,2.2576,2.269,2.201,2.2128,1908686.7
2023-11-01 06:00:00,2.213,2.2482,2.181,2.227,1782942.5
2023-11-01 07:00:00,2.2264,2.2533,2.13,2.2232,2602324.7
2023-11-01 08:00:00,2.2225,2.2945,2.2094,2.2581,1447797.9
2023-11-01 09:00:00,2.2581,2.2999,2.2231,2.28,1567477.9
2023-11-01 10:00:00,2.2802,2.2808,2.2027,2.2405,1310549.5
2023-11-01 11:00:00,2.2418,2.2693,2.2127,2.256,874011.6
2023-11-01 12:00:00,2.256,2.4152,2.2485,2.3561,3940887.2
2023-11-01 13:00:00,2.3579,2.3684,2.2538,2.2891,1784969.0
2023-11-01 14:00:00,2.2889,2.35,2.274,2.2863,1719577.7
2023-11-01 15:00:00,2.2874,2.3344,2.22,2.3076,1732011.3
2023-11-01 16:00:00,2.3075,2.47,2.3023,2.4012,6402150.0
2023-11-01 17:00:00,2.4012,2.66,2.3912,2.5769,6641133.1
2023-11-01 18:00:00,2.5759,2.667,2.51,2.5381,4398434.4
2023-11-01 19:00:00,2.5381,2.61,2.468,2.5651,2570339.7
2023-11-01 20:00:00,2.565,2.626,2.52,2.5642,1540522.3
2023-11-01 21:00:00,2.5654,2.6225,2.543,2.5831,1237486.7
2023-11-01 22:00:00,2.5824,2.6,2.45,2.4827,1116370.3
2023-11-01 23:00:00,2.4829,2.562,2.4516,2.5488,879950.7
2023-11-02 00:00:00,2.5489,2.5688,2.4613,2.5501,932763.4
2023-11-02 01:00:00,2.5501,2.77,2.5325,2.749,2561705.4
2023-11-02 02:00:00,2.7471,2.8659,2.7009,2.7247,3167069.1
2023-11-02 03:00:00,2.7247,2.7825,2.67,2.6737,1503753.2
2023-11-02 04:00:00,2.672,2.8148,2.672,2.7893,1354941.2
2023-11-02 05:00:00,2.79,2.825,2.7001,2.7663,1786865.5
2023-11-02 06:00:00,2.7664,2.8523,2.7227,2.7668,2423017.0
2023-11-02 07:00:00,2.7668,2.7888,2.6354,2.678,1611069.6
2023-11-02 08:00:00,2.6782,2.6782,2.42,2.5458,3750500.9
2023-11-02 09:00:00,2.545,2.5981,2.52,2.572,847976.2
2023-11-02 10:00:00,2.5705,2.6,2.5432,2.5765,1199515.7
2023-11-02 11:00:00,2.5765,2.5771,2.4547,2.5156,1990961.4
2023-11-02 12:00:00,2.5179,2.541,2.4557,2.4832,1124703.3
2023-11-02 13:00:00,2.4798,2.4892,2.3511,2.4237,2613123.6
2023-11-02 14:00:00,2.4237,2.455,2.371,2.42,1255326.6
2023-11-02 15:00:00,2.4195,2.4224,2.2666,2.344,2446104.8
2023-11-02 16:00:00,2.344,2.4483,2.32,2.4244,1519182.4
2023-11-02 17:00:00,2.426,2.46,2.378,2.4155,954970.0
2023-11-02 18:00:00,2.4156,2.4426,2.325,2.3977,1120444.7
2023-11-02 19:00:00,2.3977,2.42,2.363,2.4088,504807.6
2023-11-02 20:00:00,2.4089,2.45,2.3804,2.4291,510079.2
2023-11-02 21:00:00,2.4301,2.45,2.3707,2.3901,425545.7
2023-11-02 22:00:00,2.3903,2.401,2.35,2.369,412685.8
2023-11-02 23:00:00,2.369,2.4088,2.3401,2.3988,252529.5
2023-11-03 00:00:00,2.3999,2.4257,2.28,2.3232,1253557.7
2023-11-03 01:00:00,2.3241,2.3358,2.25,2.2845,926231.5
2023-11-03 02:00:00,2.2821,2.3331,2.2715,2.3167,740033.8
2023-11-03 03:00:00,2.3173,2.3564,2.2922,2.3413,450969.0
2023-11-03 04:00:00,2.3405,2.3851,2.3083,2.3403,756035.9
2023-11-03 05:00:00,2.3401,2.4016,2.3219,2.3793,655416.7
2023-11-03 06:00:00,2.378,2.4039,2.352,2.3631,662443.2
2023-11-03 07:00:00,2.3631,2.3758,2.3113,2.3166,719677.5
2023-11-03 08:00:00,2.3192,2.3382,2.265,2.2824,1415880.5
2023-11-03 09:00:00,2.2812,2.3,2.2521,2.2648,949931.6
2023-11-03 10:00:00,2.2648,2.32,2.213,2.3102,1499995.8
2023-11-03 11:00:00,2.3116,2.3323,2.288,2.3174,1025739.3
2023-11-03 12:00:00,2.3166,2.3339,2.2863,2.3232,840739.9
2023-11-03 13:00:00,2.3232,2.34,2.2729,2.3325,1515942.6
2023-11-03 14:00:00,2.3342,2.3841,2.304,2.3312,1676210.8
2023-11-03 15:00:00,2.3334,2.4021,2.3171,2.3888,1043868.4
