datetime,open,high,low,close,volume
2023-07-24,0.15,5.29,0.15,2.288,261823460.2
2023-07-31,2.288,2.525,2.011,2.039,93554629.7
2023-08-07,2.042,2.11,1.65,1.768,81712366.9
2023-08-14,1.768,1.817,1.2,1.469,92142239.6
2023-08-21,1.468,1.531,1.222,1.312,52786750.1
2023-08-28,1.312,1.385,1.094,1.13,119163861.3
2023-09-04,1.13,1.393,1.02,1.093,161202258.1
2023-09-11,1.093,1.724,0.971,1.264,268295872.6
2023-09-18,1.264,1.692,1.232,1.621,199469965.3
2023-09-25,1.62,1.899,1.571,1.78,132910518.6
2023-10-02,1.78,1.806,1.453,1.583,65140244.8
2023-10-09,1.583,1.658,1.425,1.529,49216501.1
2023-10-16,1.528,1.736,1.4,1.633,74971805.8
2023-10-23,1.633,1.956,1.482,1.8,109800605.9
2023-10-30,1.8,2.05,1.703,1.821,74217502.6
2023-11-06,1.82,2.1,1.555,1.948,77615564.5
2023-11-13,1.948,2.6,1.82,2.415,233467616.0
2023-11-20,2.416,2.878,2.161,2.658,195154301.2
2023-11-27,2.656,2.784,2.315,2.463,85765096.2
2023-12-04,2.464,2.75,2.32,2.688,81459579.3
2023-12-11,2.688,4.788,2.304,4.205,235441983.9
2023-12-18,4.203,4.355,3.262,3.362,144552056.8
2023-12-25,3.362,4.078,3.33,3.633,96406606.5
2024-01-01,3.633,3.92,2.503,2.63,79273067.1
2024-01-08,2.631,3.188,2.371,2.663,84285666.0
