datetime,open,high,low,close,volume
2023-03-20,0.5,1.6,0.5,1.2818,1563265087.1
2023-03-27,1.2818,1.445,1.11,1.2016,1771554882.5
2023-04-03,1.2017,1.2905,1.1,1.1815,848061172.3
2023-04-10,1.1815,1.745,1.1528,1.6957,1500828919.0
2023-04-17,1.6957,1.82,1.3,1.3405,1542948325.0
2023-04-24,1.3405,1.5052,1.28,1.3683,940997703.0
2023-05-01,1.3685,1.3908,1.2155,1.2194,568252703.6
2023-05-08,1.2193,1.23,1.0111,1.1705,881081821.5
2023-05-15,1.1703,1.23,1.1095,1.1275,403484863.6
2023-05-22,1.1274,1.2592,1.0672,1.2481,406354435.8
2023-05-29,1.2482,1.2798,1.1281,1.2071,396683631.8
2023-06-05,1.2067,1.2067,0.9294,0.992,555007325.5
2023-06-12,0.9921,1.034,0.9075,0.9943,361765228.0
2023-06-19,0.9943,1.1755,0.9825,1.1133,422512375.9
2023-06-26,1.1134,1.2447,1.0632,1.1511,536465923.2
2023-07-03,1.1511,1.198,1.0571,1.1245,318249372.8
2023-07-10,1.1245,1.34,1.0945,1.2712,488015807.2
2023-07-17,1.2711,1.3499,1.2131,1.2511,362348525.7
2023-07-24,1.2511,1.254,1.1397,1.1585,164134340.6
2023-07-31,1.1584,1.1955,1.1187,1.1384,166317664.1
2023-08-07,1.1385,1.1956,1.1101,1.141,154613198.5
2023-08-14,1.1411,1.1672,0.916,1.0292,275119098.7
2023-08-21,1.0292,1.034,0.9317,0.9586,188191033.5
2023-08-28,0.9585,0.9985,0.8701,0.9048,220716776.3
2023-09-04,0.9049,0.928,0.8302,0.8442,174485606.5
2023-09-11,0.8442,0.8488,0.739,0.7946,350152355.4
2023-09-18,0.7947,0.8708,0.7839,0.8075,180630511.1
2023-09-25,0.8073,0.9853,0.7983,0.9693,213460562.2
2023-10-02,0.9694,0.9883,0.8373,0.8466,202582811.5
2023-10-09,0.8467,0.8566,0.787,0.8037,154210286.9
2023-10-16,0.8038,0.8532,0.7634,0.853,194093361.0
2023-10-23,0.8531,0.9975,0.8275,0.9483,404458774.4
2023-10-30,0.9483,1.1197,0.9074,1.0897,404040126.7
2023-11-06,1.09,1.2246,0.9576,1.1558,505781858.1
2023-11-13,1.1557,1.198,0.9804,1.0459,484840148.0
2023-11-20,1.046,1.084,0.9448,1.0374,298961854.4
2023-11-27,1.0374,1.1251,0.9857,1.0965,253238878.4
2023-12-04,1.0965,1.2423,1.0225,1.1558,635239023.1
2023-12-11,1.1558,1.2585,1.012,1.1061,639492590.0
2023-12-18,1.1059,1.4641,1.0324,1.354,807051791.5
2023-12-25,1.3539,1.6691,1.231,1.5612,796056558.1
2024-01-01,1.5613,2.1177,1.463,1.7218,1241536957.0
2024-01-08,1.7222,2.425,1.57,2.0302,1116724263.1
