datetime,open,high,low,close,volume
2021-06-07,0.04139,4.5,0.04139,0.97222,836691459.0
2021-06-14,0.97222,1.14819,0.656,0.71787,412912538.0
2021-06-21,0.71774,0.72161,0.43154,0.47558,156941691.0
2021-06-28,0.47558,0.595,0.44551,0.46711,160744102.0
2021-07-05,0.46711,0.49835,0.39702,0.41846,74241757.0
2021-07-12,0.41878,0.58876,0.34201,0.4268,434677075.0
2021-07-19,0.4268,0.4495,0.33801,0.38383,150977415.0
2021-07-26,0.384,0.4489,0.35987,0.38844,152712177.0
2021-08-02,0.38845,0.62199,0.37407,0.48648,340448514.0
2021-08-09,0.48656,0.70824,0.468,0.59662,279634194.0
2021-08-16,0.59662,0.77777,0.51519,0.66999,215607715.0
2021-08-23,0.66998,2.02,0.60001,1.6285,1587536073.0
2021-08-30,1.6285,1.7444,1.2801,1.4089,343517603.0
2021-09-06,1.4089,1.479,0.8862,1.2627,384075947.0
2021-09-13,1.2627,1.3647,1.087,1.2225,199680070.0
2021-09-20,1.2235,1.2713,0.796,0.8479,185839582.0
2021-09-27,0.8481,1.0995,0.7577,1.0295,167409382.0
2021-10-04,1.0286,1.11,0.9452,0.9682,162111622.0
2021-10-11,0.9674,1.2153,0.868,1.08,181382119.0
2021-10-18,1.08,1.176,1.01,1.038,81958601.0
2021-10-25,1.0387,1.2222,0.895,1.069,138360993.0
2021-11-01,1.0698,1.29,1.0,1.1259,166011780.0
2021-11-08,1.1266,1.74,1.07,1.3409,352469797.0
2021-11-15,1.3408,1.3545,0.913,1.0529,130371029.0
2021-11-22,1.0542,1.48,0.96,1.1223,291170315.0
2021-11-29,1.1235,1.196,0.6105,0.7124,153397881.0
2021-12-06,0.7136,0.8088,0.6301,0.7089,138920376.0
2021-12-13,0.7084,0.7185,0.5916,0.6155,53922279.0
2021-12-20,0.6146,0.738,0.5661,0.7124,113012042.0
2021-12-27,0.7122,0.785,0.61,0.6783,68282989.0
2022-01-03,0.6779,0.715,0.5126,0.5549,82759743.0
2022-01-10,0.5555,0.589,0.501,0.5751,38179261.0
2022-01-17,0.5755,0.5772,0.3519,0.3946,60165418.0
2022-01-24,0.394,0.4218,0.3358,0.402,45001759.0
2022-01-31,0.4019,0.463,0.3708,0.4437,52420422.0
2022-02-07,0.4441,0.605,0.4226,0.4284,233223966.0
2022-02-14,0.4284,0.47,0.373,0.3789,61084260.0
2022-02-21,0.3796,0.4108,0.3113,0.3499,73892838.0
2022-02-28,0.3496,0.4323,0.342,0.3441,75914161.0
2022-03-07,0.3443,0.3801,0.3301,0.3378,74446500.0
2022-03-14,0.3378,0.4166,0.3224,0.3872,91839674.0
2022-03-21,0.3871,0.45,0.3713,0.45,84856934.0
2022-03-28,0.4499,0.5416,0.425,0.5224,172044854.0
2022-04-04,0.5227,0.5237,0.397,0.4114,80479715.0
2022-04-11,0.4114,0.4149,0.3544,0.3583,43128780.0
2022-04-18,0.3582,0.402,0.3379,0.355,45828599.0
2022-04-25,0.3549,0.3585,0.2678,0.293,60550153.0
2022-05-02,0.2928,0.32,0.2603,0.2675,53985624.0
2022-05-09,0.2678,0.2769,0.1253,0.1674,197438490.0
2022-05-16,0.1673,0.183,0.1404,0.1608,111986027.0
2022-05-23,0.1607,0.2262,0.1363,0.1617,238337937.0
2022-05-30,0.1617,0.1904,0.1475,0.1515,175626469.0
2022-06-06,0.1516,0.29,0.1443,0.16,631807067.0
