datetime,open,high,low,close,volume
2023-10-09,0.2862,0.5,0.2862,0.302,301690612.0
2023-10-16,0.3021,0.3287,0.25,0.2665,152639017.4
2023-10-23,0.2668,0.342,0.2604,0.3114,231207169.2
2023-10-30,0.3114,0.365,0.2753,0.2877,158562207.7
2023-11-06,0.2875,0.4174,0.2813,0.3799,195940343.1
2023-11-13,0.3794,0.584,0.3722,0.4535,571975723.7
2023-11-20,0.4538,0.548,0.4,0.5091,209019381.5
2023-11-27,0.509,0.6272,0.4361,0.5718,185748516.1
2023-12-04,0.5718,0.79,0.5539,0.6435,257094348.2
2023-12-11,0.6436,1.4106,0.535,1.1381,301514466.0
2023-12-18,1.1381,1.3553,1.0083,1.1572,168500298.6
2023-12-25,1.1575,1.4105,1.042,1.1004,135558610.1
2024-01-01,1.1013,1.6571,0.7556,1.437,218223726.0
2024-01-08,1.4366,1.6836,1.2573,1.3832,170753362.1
