datetime,open,high,low,close,volume
2021-09-20,414.5,654.0,414.5,517.6,259002.711
2021-09-27,517.8,600.0,455.6,569.8,53351.533
2021-10-04,569.6,900.0,552.5,660.0,104454.105
2021-10-11,661.5,748.9,598.0,728.0,35314.404
2021-10-18,728.0,839.0,703.3,807.8,31091.557
2021-10-25,807.9,1050.0,805.0,996.1,64543.448
2021-11-01,996.3,1380.0,958.8,1224.8,98506.916
2021-11-08,1224.4,1281.0,1088.8,1139.0,39726.481
2021-11-15,1137.6,1193.0,963.0,1046.6,64301.928
2021-11-22,1046.6,1812.5,987.0,1613.6,269472.329
2021-11-29,1612.0,1930.0,1153.0,1404.5,140560.4
2021-12-06,1405.6,1442.0,1160.0,1278.2,65310.258
2021-12-13,1278.1,1286.1,1051.6,1099.5,41505.449
2021-12-20,1099.5,1367.7,1050.0,1152.4,50145.548
2021-12-27,1154.3,1169.1,989.0,1046.2,28477.3
2022-01-03,1046.6,1060.0,751.0,795.7,37273.297
2022-01-10,795.7,869.8,731.1,860.1,27370.284
2022-01-17,859.7,862.0,545.4,593.0,34900.275
2022-01-24,593.1,644.6,493.2,581.0,32947.035
2022-01-31,580.6,678.5,556.8,672.0,37793.228
2022-02-07,673.0,736.2,611.5,621.2,38703.828
2022-02-14,622.0,701.9,538.6,549.9,25458.368
2022-02-21,550.5,590.0,467.2,529.6,36752.865
2022-02-28,529.7,620.0,498.6,501.4,26189.523
2022-03-07,501.1,545.9,477.8,486.8,19735.209
2022-03-14,486.1,584.5,475.6,551.9,21308.979
2022-03-21,552.7,629.0,545.8,628.7,21332.056
2022-03-28,628.7,678.4,601.0,656.6,30252.802
2022-04-04,656.6,677.0,579.0,585.1,23372.365
2022-04-11,584.3,586.7,523.1,524.3,14247.632
2022-04-18,523.6,554.0,502.1,512.2,13461.888
2022-04-25,512.2,524.7,448.6,467.9,20050.736
2022-05-02,467.9,507.5,414.6,421.0,30752.536
2022-05-09,420.2,426.3,266.6,323.8,49323.394
