datetime,open,high,low,close,volume
2021-05-10,249.28,2831.02,205.07,225.19,5389743.75
2021-05-17,225.16,226.35,92.0,143.94,10943252.45
2021-05-24,143.97,163.6,104.4,111.9,5844860.28
2021-05-31,111.87,136.62,100.0,104.49,5985726.37
2021-06-07,104.42,106.73,52.92,64.45,11557547.24
2021-06-14,64.44,70.81,44.0,47.1,10608907.36
2021-06-21,47.12,47.64,28.26,43.0,18511877.36
2021-06-28,42.99,59.45,40.48,46.71,27756343.64
2021-07-05,46.72,48.45,37.28,39.71,10667061.26
2021-07-12,39.74,40.99,31.13,32.36,8968466.07
2021-07-19,32.36,46.04,26.9,42.6,18052562.57
2021-07-26,42.59,48.2,37.46,40.87,16424987.25
2021-08-02,40.86,66.18,37.51,55.27,21732960.06
2021-08-09,55.23,77.0,52.73,63.4,27158864.48
2021-08-16,63.4,71.0,54.1,64.59,19324535.66
2021-08-23,64.59,74.8,54.5,72.0,18858957.56
2021-08-30,72.04,83.61,60.51,79.33,23144675.17
2021-09-06,79.3,87.0,54.29,59.43,23102778.11
2021-09-13,59.44,62.3,50.36,57.16,9210986.94
2021-09-20,57.18,57.36,39.5,43.69,12799248.75
2021-09-27,43.69,52.67,40.58,50.32,9460442.49
2021-10-04,50.31,57.24,43.83,44.91,15145674.55
2021-10-11,44.9,47.48,40.18,44.11,17091990.81
2021-10-18,44.09,48.48,42.11,43.32,11908422.76
2021-10-25,43.34,51.76,37.46,44.96,18893971.24
2021-11-01,44.95,55.0,43.1,53.52,20728889.45
2021-11-08,53.53,58.3,43.33,48.33,17977004.19
2021-11-15,48.34,49.29,38.1,43.24,14691744.01
2021-11-22,43.25,45.92,38.3,41.86,15175337.93
2021-11-29,41.86,42.96,24.0,30.37,17595166.87
2021-12-06,30.38,33.29,26.09,28.48,15526029.37
2021-12-13,28.46,29.0,22.38,22.65,15321169.16
2021-12-20,22.65,28.79,20.88,26.69,23045745.53
2021-12-27,26.69,29.9,23.26,27.31,19628085.07
2022-01-03,27.31,38.02,26.5,36.15,50777221.49
2022-01-10,36.15,37.79,30.5,31.15,26548859.04
2022-01-17,31.15,31.72,18.06,21.28,26932665.11
2022-01-24,21.27,21.93,18.41,19.23,25982196.13
2022-01-31,19.25,24.26,18.51,23.36,20389866.68
2022-02-07,23.36,24.68,19.02,19.75,16201839.26
2022-02-14,19.74,22.54,18.26,18.7,14364488.58
2022-02-21,18.71,19.46,14.68,17.23,19402109.25
2022-02-28,17.23,20.77,16.57,16.62,16577087.56
2022-03-07,16.62,17.94,15.43,15.75,10654012.59
2022-03-14,15.75,17.76,15.34,16.78,12853623.65
2022-03-21,16.77,22.0,16.24,21.9,16740945.56
2022-03-28,21.9,23.5,20.0,22.66,20776093.45
2022-04-04,22.65,23.52,17.25,17.34,16688612.23
2022-04-11,17.34,17.91,15.6,16.41,11172417.27
2022-04-18,16.42,17.85,15.71,16.21,9934473.12
2022-04-25,16.21,16.4,11.28,13.05,14769095.88
2022-05-02,13.04,14.6,11.65,11.9,14426131.92
2022-05-09,11.9,12.16,6.03,9.23,39811103.76
2022-05-16,9.24,9.24,7.3,8.22,14204158.28
2022-05-23,8.23,8.86,6.75,7.12,15777306.33
2022-05-30,7.12,9.8,7.05,7.35,32006413.33
2022-06-06,7.34,8.04,5.45,5.64,44750632.53
2022-06-13,5.64,6.12,4.6,5.49,29023830.89
2022-06-20,5.49,6.47,5.25,5.76,20753343.99
2022-06-27,5.75,6.14,5.01,5.24,12181920.24
2022-07-04,5.25,7.48,5.19,6.39,19186033.52
2022-07-11,6.39,7.63,5.88,7.23,16694908.99
2022-07-18,7.23,7.84,6.28,6.61,14254891.25
2022-07-25,6.61,9.8,6.02,8.99,25245290.6
2022-08-01,9.0,9.36,7.49,8.24,15145921.4
2022-08-08,8.24,8.71,7.58,8.01,9363756.66
2022-08-15,8.01,8.25,6.09,6.45,9983334.29
2022-08-22,6.45,6.66,5.64,6.29,10609300.39
2022-08-29,6.28,6.85,6.08,6.69,8450836.33
2022-09-05,6.69,7.45,6.03,7.18,9428367.19
2022-09-12,7.18,7.26,5.49,5.85,8409226.27
2022-09-19,5.85,6.45,5.63,5.9,7716875.52
2022-09-26,5.9,6.51,5.75,5.91,8400134.41
2022-10-03,5.91,6.22,5.77,5.85,5075205.43
2022-10-10,5.85,5.91,4.67,4.99,12588621.7
2022-10-17,4.98,5.15,4.62,5.03,7148150.77
2022-10-24,5.02,5.52,4.73,5.32,10238950.07
2022-10-31,5.31,5.8,4.85,5.21,14544710.17
2022-11-07,5.2,5.34,3.5,3.946,22823957.11
2022-11-14,3.942,4.124,3.585,3.606,12292352.44
2022-11-21,3.606,4.124,3.51,3.898,9996093.56
2022-11-28,3.898,4.382,3.756,4.347,12646714.12
2022-12-05,4.346,4.615,4.06,4.221,8760377.93
2022-12-12,4.22,4.3,3.42,3.68,9241143.83
2022-12-19,3.684,3.79,3.357,3.766,5585176.5
2022-12-26,3.765,4.21,3.764,4.021,8407547.62
