datetime,open,high,low,close,volume
2020-08-10,5.0,23.255,5.0,5.782,8238967.481
2020-08-17,5.781,5.94,2.58,2.695,34466793.384
2020-08-24,2.685,4.316,2.595,3.554,47657945.554
2020-08-31,3.557,5.701,1.5,2.16,88519560.604
2020-09-07,2.161,2.298,1.7,1.908,63022736.391
2020-09-14,1.908,1.982,1.196,1.361,83754961.398
2020-09-21,1.361,1.403,0.864,1.04,83380255.194
2020-09-28,1.04,1.1,0.674,0.697,59162397.426
2020-10-05,0.697,0.721,0.455,0.559,102753040.808
2020-10-12,0.558,0.599,0.418,0.455,59874649.438
2020-10-19,0.456,0.458,0.328,0.337,81293259.313
2020-10-26,0.337,0.678,0.333,0.401,189669101.231
2020-11-02,0.402,0.548,0.33,0.471,122600576.966
2020-11-09,0.471,0.845,0.422,0.78,230439624.4
2020-11-16,0.779,0.957,0.691,0.746,254441303.119
2020-11-23,0.747,0.804,0.485,0.656,191519925.896
2020-11-30,0.656,0.858,0.628,0.702,187398673.46
2020-12-07,0.703,0.744,0.535,0.617,110949871.565
2020-12-14,0.616,0.7,0.592,0.616,100030346.177
2020-12-21,0.616,0.629,0.385,0.472,127236070.822
2020-12-28,0.473,0.696,0.442,0.677,212787186.44
2021-01-04,0.678,0.842,0.581,0.754,239620573.553
2021-01-11,0.753,1.79,0.531,1.691,405487246.53
2021-01-18,1.69,2.35,1.257,2.26,431918125.032
2021-01-25,2.26,2.849,1.736,2.511,277339802.373
2021-02-01,2.514,3.666,2.3,2.981,186446080.678
2021-02-08,2.98,3.618,2.849,2.955,125620472.205
2021-02-15,2.955,3.269,2.08,2.905,139157470.953
2021-02-22,2.905,2.912,1.62,1.769,150468002.747
2021-03-01,1.767,2.64,1.752,2.245,154003851.999
2021-03-08,2.245,2.485,1.96,2.107,117236456.39
2021-03-15,2.108,2.973,2.041,2.594,120247315.184
2021-03-22,2.593,3.39,2.22,3.024,211843408.398
2021-03-29,3.022,3.577,2.854,3.103,121289507.003
2021-04-05,3.105,3.5,2.722,3.111,107316115.689
2021-04-12,3.111,4.65,2.4,3.223,227787573.461
2021-04-19,3.22,3.482,2.195,2.382,151846784.636
2021-04-26,2.384,3.49,2.347,3.279,138885960.25
2021-05-03,3.276,3.969,2.744,3.447,155589469.465
2021-05-10,3.448,4.264,2.8,3.272,272768070.674
2021-05-17,3.272,3.605,1.057,1.32,315498909.454
2021-05-24,1.319,1.932,1.274,1.679,189819476.791
2021-05-31,1.679,2.9,1.599,2.457,227590792.942
2021-06-07,2.458,2.584,1.982,2.205,162581460.057
2021-06-14,2.205,2.356,1.744,1.921,91076237.982
2021-06-21,1.92,1.949,1.216,1.587,147670291.136
2021-06-28,1.587,1.904,1.552,1.839,79804544.116
2021-07-05,1.839,2.099,1.658,1.76,77789117.677
2021-07-12,1.76,1.791,1.393,1.412,44075580.99
2021-07-19,1.412,1.618,1.222,1.524,59501300.697
2021-07-26,1.525,1.78,1.472,1.658,84215194.08
2021-08-02,1.658,1.98,1.531,1.755,84149879.028
2021-08-09,1.756,2.378,1.707,2.22,104861254.709
2021-08-16,2.221,2.469,1.846,2.44,127087261.673
2021-08-23,2.442,2.516,1.983,2.103,97032918.873
