datetime,open,high,low,close,volume
2021-10-25,34.61,42.9,34.61,36.2,476471.16
2021-11-01,36.2,43.79,35.1,40.51,704111.04
2021-11-08,40.52,43.4,34.94,38.47,546621.64
2021-11-15,38.49,39.65,28.89,33.21,601900.16
2021-11-22,33.19,33.67,26.88,30.58,446023.89
2021-11-29,30.61,41.5,24.62,27.14,1612026.11
2021-12-06,27.14,31.44,24.29,26.89,739471.73
2021-12-13,26.89,29.87,21.72,24.74,447551.97
2021-12-20,24.74,26.51,22.79,25.84,204367.08
2021-12-27,25.84,28.75,23.51,24.46,397772.02
2022-01-03,24.46,25.59,19.55,20.88,264445.15
2022-01-10,20.88,21.26,18.98,20.69,190481.95
2022-01-17,20.7,20.7,12.13,14.0,304272.21
2022-01-24,14.05,17.67,11.66,14.28,899346.13
2022-01-31,14.26,17.0,13.19,15.59,321369.73
2022-02-07,15.61,17.7,14.67,15.1,168376.51
2022-02-14,15.1,17.13,12.95,12.96,135521.81
2022-02-21,12.96,14.87,10.89,12.01,217705.64
2022-02-28,11.98,16.5,11.86,12.49,999132.2
2022-03-07,12.48,15.86,12.11,12.19,556385.68
2022-03-14,12.22,27.4,12.16,17.22,7176417.99
2022-03-21,17.23,17.51,15.52,16.1,2026408.34
2022-03-28,16.1,17.53,15.09,16.89,1306830.48
2022-04-04,16.89,19.23,13.82,14.06,1116788.96
2022-04-11,14.02,16.94,12.94,13.3,1723143.05
2022-04-18,13.29,15.2,12.62,12.71,694997.48
2022-04-25,12.73,14.2,10.78,11.67,1052789.21
2022-05-02,11.64,14.0,9.99,10.03,2226756.11
2022-05-09,10.03,10.22,3.74,6.09,1135941.38
2022-05-16,6.07,7.44,5.62,6.35,1015959.27
2022-05-23,6.34,7.72,6.01,6.64,1703547.46
2022-05-30,6.63,7.86,6.26,6.5,1007417.77
2022-06-06,6.5,7.38,5.09,5.09,1149690.14
2022-06-13,5.11,5.34,3.92,4.57,1333851.46
