datetime,open,high,low,close,volume
2019-04-01,2.5,2.5,1.829,2.3419,2655027.43
2019-04-08,2.3339,2.4998,1.8136,1.9776,2142614.95
2019-04-15,1.9776,2.0189,1.7605,1.8488,1414499.54
2019-04-22,1.8545,1.877,1.4201,1.5303,2012146.8
2019-04-29,1.5274,1.7702,1.4435,1.5685,1393032.63
2019-05-06,1.573,1.831,1.4,1.6482,1690038.4
2019-05-13,1.6526,2.4279,1.6369,2.0995,2960219.75
2019-05-20,2.0915,2.15,1.81,2.0589,1566869.7
2019-05-27,2.0588,2.4778,2.0471,2.3537,2424782.48
2019-06-03,2.3587,2.3587,1.83,1.89,1658187.1
2019-06-10,1.8736,2.2152,1.852,2.1271,2027361.98
2019-06-17,2.1254,2.3469,2.0095,2.2645,2204443.61
2019-06-24,2.2518,3.2837,2.1966,2.4805,8253803.41
2019-07-01,2.4959,2.6222,2.2157,2.3911,2245909.88
2019-07-08,2.3943,2.6827,1.5569,1.5569,3250142.95
2019-07-15,1.5593,1.8496,1.3042,1.7232,3013103.73
2019-07-22,1.7304,1.739,1.4,1.5365,1784641.28
2019-07-29,1.5352,1.5954,1.4833,1.5236,600528.74
2019-08-05,1.5273,1.5841,1.2794,1.4252,1176302.26
2019-08-12,1.4226,1.4265,1.1159,1.2514,1242010.93
2019-08-19,1.2539,1.29,1.1297,1.2353,921792.41
2019-08-26,1.238,1.2796,1.0241,1.0811,1181432.21
2019-09-02,1.086,1.1111,1.0037,1.0726,942853.16
2019-09-09,1.0788,1.0933,1.0105,1.0465,670305.29
2019-09-16,1.0467,1.2018,1.0368,1.0694,1538882.21
2019-09-23,1.07,1.0724,0.7089,0.7945,1748132.65
2019-09-30,0.7925,0.8939,0.7683,0.8747,1247918.94
2019-10-07,0.8763,0.9399,0.8181,0.8257,1260073.68
2019-10-14,0.8248,0.8322,0.7569,0.8118,1197620.4
2019-10-21,0.8134,1.0408,0.7074,0.9675,2598702.13
2019-10-28,0.9704,1.1248,0.9209,0.9605,3572334.92
2019-11-04,0.9602,1.0899,0.925,1.0064,1926799.59
2019-11-11,1.0069,1.1199,0.9216,1.0248,2515070.65
2019-11-18,1.018,1.0259,0.72,0.7344,1912144.61
2019-11-25,0.7336,0.8221,0.6551,0.7471,1535374.3
2019-12-02,0.7471,0.7721,0.7115,0.7479,783885.7
2019-12-09,0.7474,0.768,0.6855,0.7018,729670.96
2019-12-16,0.7018,0.7018,0.5691,0.6512,1444853.62
2019-12-23,0.6513,0.6644,0.6006,0.6373,928183.87
2019-12-30,0.635,0.65,0.5837,0.6367,795041.98
2020-01-06,0.6349,0.6976,0.6297,0.6943,1354403.28
2020-01-13,0.6942,0.8975,0.6574,0.7998,4144818.93
2020-01-20,0.7998,0.8484,0.7258,0.7905,1627414.89
2020-01-27,0.7931,1.05,0.7931,0.968,2752724.13
2020-02-03,0.968,1.1818,0.9351,1.1323,3067513.25
2020-02-10,1.1372,1.5,0.9974,1.182,5004313.06
2020-02-17,1.1773,1.2208,1.0239,1.1389,2532595.26
2020-02-24,1.1341,1.1404,0.8016,0.841,2993149.53
2020-03-02,0.841,0.9702,0.755,0.7655,2327091.52
2020-03-09,0.7687,0.8142,0.3031,0.4939,5712427.95
2020-03-16,0.4904,0.5996,0.3961,0.477,3663180.01
2020-03-23,0.4761,0.5339,0.4626,0.4682,2668783.1
2020-03-30,0.4678,0.5797,0.4666,0.5416,2464456.47
2020-04-06,0.5405,0.636,0.5341,0.5646,3012777.79
2020-04-13,0.5656,0.5993,0.5028,0.5799,2163825.91
2020-04-20,0.5776,0.6625,0.5261,0.6604,3547047.57
2020-04-27,0.6632,0.8167,0.6389,0.7266,6446800.75
2020-05-04,0.7266,0.8255,0.6301,0.675,4033297.77
2020-05-11,0.675,1.0791,0.6259,0.9721,21111072.27
2020-05-18,0.9761,2.2268,0.935,1.5367,87301148.04
2020-05-25,1.5373,1.8679,1.4631,1.5081,23659512.49
2020-06-01,1.5075,1.7899,1.481,1.6961,17063307.01
2020-06-08,1.6938,1.7078,1.4849,1.564,6355094.73
2020-06-15,1.5632,1.5723,1.404,1.4512,4903809.95
2020-06-22,1.4525,1.6807,1.2961,1.4253,8739473.61
2020-06-29,1.4254,1.56,1.3729,1.4951,9875927.98
2020-07-06,1.4951,1.6459,1.4891,1.5394,10639785.57
2020-07-13,1.5417,1.6377,1.4582,1.5537,9385241.51
2020-07-20,1.5535,1.7606,1.5531,1.6229,13970859.7
2020-07-27,1.6251,1.727,1.3754,1.5843,9892033.87
2020-08-03,1.5851,1.7199,1.5264,1.712,8805831.54
2020-08-10,1.7105,3.1509,1.58,2.7942,29985674.49
2020-08-17,2.7995,9.82,2.4608,6.41,175305015.07
2020-08-24,6.4138,6.4403,4.783,5.4857,45909669.88
2020-08-31,5.4858,5.5894,3.2916,3.9219,34061152.35
2020-09-07,3.9152,4.1988,3.3022,3.8423,18773818.57
2020-09-14,3.8366,4.0162,2.8,2.8976,11108046.96
2020-09-21,2.893,3.274,2.4894,3.0844,17698209.53
2020-09-28,3.0857,4.4367,3.0838,3.6295,32833624.48
2020-10-05,3.6336,3.95,3.0234,3.6538,16581346.26
2020-10-12,3.6539,3.7482,3.1309,3.4019,8338685.45
2020-10-19,3.4066,3.65,3.0718,3.3493,7599454.65
2020-10-26,3.3509,3.4153,2.7569,3.1391,6852181.0
2020-11-02,3.1351,3.4972,2.6248,3.1907,13184497.87
2020-11-09,3.1856,3.848,3.0249,3.3217,22826389.84
2020-11-16,3.3234,4.357,3.1842,3.9019,29214026.61
2020-11-23,3.9018,5.1845,3.2291,3.7798,48595287.88
2020-11-30,3.781,4.4124,3.4722,3.701,31941518.79
2020-12-07,3.7012,3.7431,2.9601,3.2779,16148699.7
2020-12-14,3.2757,3.4968,3.0772,3.17,19015428.21
2020-12-21,3.1697,3.2809,1.9912,2.6441,25190321.46
2020-12-28,2.6397,3.0714,2.352,3.0498,29113259.46
2021-01-04,3.0529,4.1415,2.6842,3.6526,79229835.89
2021-01-11,3.6526,3.8952,2.6,3.7236,57955440.6
2021-01-18,3.722,4.4444,2.954,3.5888,62686239.26
2021-01-25,3.5888,3.8371,3.0536,3.5237,51135770.18
2021-02-01,3.5237,5.4974,3.383,4.6205,106353210.57
2021-02-08,4.6235,7.9741,4.4885,6.6903,100881179.09
2021-02-15,6.69,6.94,5.506,6.3325,54105115.13
2021-02-22,6.3372,6.35,3.775,4.2648,48366249.17
2021-03-01,4.2684,5.2608,4.2061,5.128,35347582.73
2021-03-08,5.1286,5.5284,4.7814,5.0665,36252611.06
2021-03-15,5.0672,6.3585,4.7789,5.5771,39639785.07
2021-03-22,5.5741,6.2129,4.6927,5.882,38299768.12
2021-03-29,5.8778,8.4,5.8413,7.8451,63853103.07
