datetime,open,high,low,close,volume
2021-04-26,0.1128,0.4248,0.1128,0.3305,5182474818.0
2021-05-03,0.3305,0.3427,0.2101,0.2325,1797153161.0
2021-05-10,0.2323,0.25,0.133,0.2099,1337744629.0
2021-05-17,0.2099,0.345,0.0614,0.0817,1702949750.0
2021-05-24,0.0824,0.247,0.0763,0.137,2457165499.0
2021-05-31,0.137,0.1495,0.1246,0.1308,780799317.0
2021-06-07,0.1308,0.1668,0.0974,0.1384,933402340.0
2021-06-14,0.1384,0.1477,0.1214,0.1332,344784426.0
2021-06-21,0.1333,0.1365,0.1053,0.1346,473093435.0
2021-06-28,0.1346,0.1841,0.1254,0.1697,619339315.0
2021-07-05,0.1696,0.26,0.1506,0.259,1072593063.0
2021-07-12,0.259,0.41,0.232,0.2706,2359571108.0
2021-07-19,0.2706,0.356,0.2154,0.2825,2101150528.0
2021-07-26,0.2825,0.318,0.2029,0.2077,1465112217.0
2021-08-02,0.2077,0.2325,0.1704,0.1868,2084659787.0
2021-08-09,0.1869,0.2274,0.167,0.1765,3094846028.0
2021-08-16,0.1765,0.1862,0.148,0.1541,2605835516.0
2021-08-23,0.154,0.1683,0.1283,0.1362,3116618120.0
2021-08-30,0.1362,0.1496,0.1077,0.1198,5459466165.0
2021-09-06,0.1198,0.1258,0.0804,0.0866,4605078046.0
2021-09-13,0.0866,0.0995,0.075,0.0757,5325868845.0
2021-09-20,0.0757,0.0943,0.0551,0.0664,10366760733.0
2021-09-27,0.0664,0.0782,0.0608,0.0763,8413499821.0
2021-10-04,0.0762,0.1039,0.0732,0.0747,20514309815.0
2021-10-11,0.0747,0.0858,0.0666,0.0707,11030945259.0
2021-10-18,0.0707,0.0718,0.0628,0.0639,5950579728.0
2021-10-25,0.0638,0.084,0.059,0.0718,14343645773.0
2021-11-01,0.0718,0.136,0.065,0.0785,38725910030.0
2021-11-08,0.0786,0.0836,0.0692,0.0706,11862354880.0
2021-11-15,0.0706,0.0784,0.0601,0.0662,12059948547.0
2021-11-22,0.0663,0.069,0.0541,0.0592,9953097868.0
2021-11-29,0.0592,0.0615,0.0338,0.0393,9829025061.0
2021-12-06,0.0393,0.0544,0.0345,0.0382,11888259168.0
2021-12-13,0.0382,0.0384,0.0311,0.0317,6508168249.0
2021-12-20,0.0317,0.0335,0.0287,0.0317,7992049015.0
2021-12-27,0.0317,0.0324,0.0264,0.0273,5940791523.0
2022-01-03,0.0273,0.029,0.0175,0.0184,11199615433.0
2022-01-10,0.0184,0.0215,0.017,0.0206,11633095440.0
2022-01-17,0.0207,0.0209,0.0105,0.0128,12469001671.0
2022-01-24,0.0129,0.0129,0.0095,0.0101,14233926464.0
2022-01-31,0.0101,0.014,0.0087,0.0135,23108608447.0
2022-02-07,0.0135,0.0409,0.0127,0.0303,160655715721.0
2022-02-14,0.0303,0.0318,0.0197,0.0202,51897960435.0
2022-02-21,0.0202,0.0235,0.0164,0.0188,62817749586.0
2022-02-28,0.0188,0.0217,0.0168,0.0176,26987501430.0
2022-03-07,0.0175,0.0191,0.0157,0.0158,14293003508.0
2022-03-14,0.0157,0.0185,0.0155,0.0171,21459515641.0
2022-03-21,0.0171,0.0238,0.0168,0.0209,36411903415.0
2022-03-28,0.021,0.0255,0.019,0.024,41723435757.0
2022-04-04,0.0239,0.0295,0.018,0.0182,56620600613.0
2022-04-11,0.0181,0.0185,0.0162,0.0167,16914232172.0
2022-04-18,0.0167,0.0178,0.0151,0.0154,13918483900.0
2022-04-25,0.0154,0.0155,0.01065,0.01325,46224803147.0
2022-05-02,0.01324,0.01378,0.01044,0.01071,24676768216.0
2022-05-09,0.0107,0.01084,0.004,0.00565,42150016167.0
2022-05-16,0.00566,0.00677,0.005,0.00596,22847562367.0
2022-05-23,0.00597,0.00617,0.00473,0.00527,14933280132.0
2022-05-30,0.00526,0.00623,0.0051,0.0052,12882365511.0
2022-06-06,0.0052,0.00553,0.00385,0.00401,13497637929.0
2022-06-13,0.00402,0.00409,0.00306,0.00362,19303201286.0
2022-06-20,0.00362,0.0045,0.00343,0.00408,21475779110.0
2022-06-27,0.00408,0.0043,0.00355,0.00376,10026954334.0
2022-07-04,0.00375,0.00443,0.00367,0.00391,13666864463.0
2022-07-11,0.0039,0.0041,0.00344,0.00392,9369914154.0
2022-07-18,0.00392,0.00518,0.00391,0.00431,20136469798.0
2022-07-25,0.0043,0.0046,0.00378,0.0044,12316657321.0
2022-08-01,0.00441,0.0055,0.00419,0.00485,14304876306.0
