datetime,open,high,low,close,volume
2023-10-30,2.877,2.9999,1.9,2.309,191009780.4
2023-11-06,2.3098,4.84,2.223,4.6191,181251148.7
2023-11-13,4.6192,7.42,4.21,6.7966,209602805.2
2023-11-20,6.7989,7.0543,5.003,5.4366,93735303.7
2023-11-27,5.4376,9.3158,5.131,8.5899,80540302.7
2023-12-04,8.5895,11.5,8.01,9.8297,95696529.4
2023-12-11,9.8265,14.8977,8.663,12.709,91783028.0
2023-12-18,12.7104,15.2747,10.9548,14.1393,59948953.3
2023-12-25,14.1393,14.74,11.4,11.8794,34475555.1
2024-01-01,11.8794,17.2987,9.36,14.3116,68516585.2
2024-01-08,14.32,19.9,12.4928,18.0582,63386750.1
