datetime,open,high,low,close,volume
2019-01-14,0.5355,0.5355,0.459,0.4834,5152746.01
2019-01-21,0.4839,0.5656,0.4229,0.4303,10296472.88
2019-01-28,0.431,0.4638,0.3504,0.3963,17103877.02
2019-02-04,0.3959,0.4844,0.3867,0.4499,10017516.64
2019-02-11,0.4495,0.4797,0.4176,0.4604,7093184.89
2019-02-18,0.4615,0.4823,0.3975,0.405,9560505.14
2019-02-25,0.4047,0.4749,0.4007,0.4205,6592754.22
2019-03-04,0.4203,0.546,0.3929,0.4981,12365613.39
2019-03-11,0.4982,0.5181,0.4382,0.4785,11420920.26
2019-03-18,0.4789,0.4899,0.4342,0.4531,5067199.5
2019-03-25,0.4539,0.541,0.441,0.5084,9967677.74
2019-04-01,0.5084,0.6073,0.5007,0.5773,16066248.75
2019-04-08,0.5776,0.5912,0.453,0.5225,9052672.54
2019-04-15,0.5259,0.539,0.4752,0.4963,5904637.02
2019-04-22,0.4963,0.517,0.4264,0.451,5740900.43
2019-04-29,0.451,0.5238,0.424,0.5058,3930832.62
2019-05-06,0.5058,0.7484,0.4901,0.6586,16427889.02
2019-05-13,0.6607,1.05,0.6332,0.9934,30447356.95
2019-05-20,0.9927,1.474,0.946,1.0828,45877449.79
2019-05-27,1.0802,1.35,0.9009,1.0155,42896059.05
2019-06-03,1.0155,1.27,0.8368,1.0595,41570930.07
2019-06-10,1.0595,1.97,1.0301,1.6621,95475045.37
2019-06-17,1.6651,2.0776,1.61,1.8169,61196501.24
2019-06-24,1.8169,4.5826,1.79,3.3885,151650989.58
2019-07-01,3.3885,3.9914,2.9266,3.275,94072792.6
2019-07-08,3.275,3.5731,2.6,2.7856,60391225.9
2019-07-15,2.7792,2.8498,2.0531,2.5319,55501427.66
2019-07-22,2.5319,2.5857,2.1,2.2156,26639932.76
2019-07-29,2.2178,2.7342,1.9694,2.5099,38442202.7
2019-08-05,2.5097,2.6495,2.1306,2.415,29061341.98
2019-08-12,2.4165,2.6031,2.163,2.5051,24694874.27
2019-08-19,2.5055,2.6,2.0255,2.078,24279896.09
2019-08-26,2.0783,2.1788,1.717,1.7686,18553879.08
2019-09-02,1.7696,1.9424,1.6767,1.8275,21669699.0
2019-09-09,1.829,1.8731,1.51,1.6104,27062723.79
2019-09-16,1.611,1.9075,1.545,1.8157,34392612.77
2019-09-23,1.8149,2.0657,1.4612,1.7002,45049517.26
2019-09-30,1.7004,2.2659,1.6404,2.1669,35895591.91
2019-10-07,2.1669,2.95,2.0971,2.486,89160733.14
2019-10-14,2.485,2.6741,2.182,2.4444,50770025.73
2019-10-21,2.4443,3.0063,2.3717,2.6646,79723113.2
2019-10-28,2.6707,2.8859,2.5107,2.6605,26919966.17
2019-11-04,2.6594,2.8497,2.6022,2.777,21183749.06
2019-11-11,2.7773,3.16,2.6655,2.91,27759112.11
2019-11-18,2.91,2.961,2.1,2.2216,36315905.89
2019-11-25,2.2218,2.3976,2.02,2.1638,38938003.5
2019-12-02,2.1634,2.1891,1.9583,2.0528,27682897.3
2019-12-09,2.052,2.3042,1.9606,2.0708,29484542.63
2019-12-16,2.0722,2.0873,1.5996,1.9181,32089757.54
2019-12-23,1.9167,1.9604,1.76,1.8976,14465349.63
2019-12-30,1.898,1.898,1.7013,1.7957,9874082.08
2020-01-06,1.7954,2.3495,1.7925,2.2383,38507527.04
2020-01-13,2.2382,2.86,2.1561,2.6212,43774433.88
2020-01-20,2.6207,2.7443,2.3638,2.5764,21811771.75
2020-01-27,2.5764,2.9482,2.5656,2.8267,27680956.13
2020-02-03,2.8225,3.4984,2.6751,3.4945,47303014.28
2020-02-10,3.4927,4.8671,3.2806,4.4566,88593905.72
2020-02-17,4.4563,4.8355,3.8449,4.2365,72961722.41
2020-02-24,4.2366,4.3535,3.3113,3.859,108025192.02
2020-03-02,3.8622,4.9762,3.8173,4.0537,94538006.88
2020-03-09,4.0537,4.369,0.0001,2.0884,258732212.92
2020-03-16,2.0868,2.6249,1.5571,1.9898,216249995.34
2020-03-23,1.9889,2.3709,1.9352,2.0083,86297773.88
2020-03-30,2.0083,2.485,2.0006,2.2635,61590562.51
2020-04-06,2.2638,3.6412,2.2621,3.4189,213475765.93
2020-04-13,3.4117,3.83,2.9761,3.5902,132467791.75
2020-04-20,3.5885,3.9101,3.372,3.721,82933397.71
2020-04-27,3.7212,3.9918,3.4621,3.7092,65543953.81
2020-05-04,3.7098,4.2129,3.4602,3.7582,71928135.87
2020-05-11,3.7574,3.8583,3.2865,3.7815,47649349.95
2020-05-18,3.7815,4.174,3.7292,3.7917,49083074.44
2020-05-25,3.7878,4.2838,3.7689,4.131,32456740.14
2020-06-01,4.1278,4.6185,4.1075,4.3465,30173495.08
2020-06-08,4.3487,4.5062,3.8573,3.9371,21332823.51
2020-06-15,3.9395,4.2491,3.6551,4.1812,24299675.7
2020-06-22,4.1819,4.9422,4.176,4.5668,49278062.49
2020-06-29,4.5658,4.9181,4.4232,4.7439,30690438.52
2020-07-06,4.7426,7.3898,4.7362,7.3345,89930411.67
2020-07-13,7.3447,8.908,6.8525,8.0784,124156443.37
2020-07-20,8.0848,8.1388,6.9232,7.5022,67957045.61
2020-07-27,7.5009,8.7972,6.5101,8.2814,79326434.43
2020-08-03,8.2851,14.4586,8.1408,13.8104,118898520.97
2020-08-10,13.8105,20.1111,12.0905,18.8061,129536695.28
2020-08-17,18.8096,19.7111,12.89,15.1428,123770760.07
2020-08-24,15.1572,17.7777,13.4578,16.4788,76195208.92
2020-08-31,16.4782,16.9495,9.1,12.8044,112836816.55
2020-09-07,12.806,13.28,11.0284,12.067,86667009.61
2020-09-14,12.0757,12.3863,9.5,9.7357,62757220.09
2020-09-21,9.7394,11.199,7.2869,10.7939,111609042.75
2020-09-28,10.8,11.07,8.7975,9.3922,59130809.8
2020-10-05,9.3906,11.0258,8.3817,10.8515,61053576.88
2020-10-12,10.8515,11.8028,10.2694,10.9409,49983734.34
2020-10-19,10.9435,12.95,9.7665,12.1481,53484473.4
2020-10-26,12.148,12.4774,10.72,11.5722,49846232.1
2020-11-02,11.5681,13.5956,9.75,12.71,84960100.02
2020-11-09,12.7083,13.4293,11.8156,12.1192,61972590.3
2020-11-16,12.1199,15.7179,11.9971,14.5098,84907149.53
2020-11-23,14.5098,16.39,11.2939,13.38,85193361.99
2020-11-30,13.3855,14.8328,12.5101,13.5057,45051511.92
2020-12-07,13.509,13.5536,11.43,12.9392,34195532.89
2020-12-14,12.9389,14.5038,12.3119,13.0604,41372148.19
2020-12-21,13.0603,13.27,8.05,12.1541,77371018.18
2020-12-28,12.1542,13.9999,10.8161,13.6814,72398808.39
2021-01-04,13.6815,18.4386,12.3713,16.206,120695967.55
2021-01-11,16.1998,23.767,12.5,23.2819,147198298.99
2021-01-18,23.2676,25.5,17.1269,24.7935,100058494.23
2021-01-25,24.7912,25.7824,20.2767,22.5613,70286045.89
2021-02-01,22.5643,27.0,21.6526,24.7254,53622889.29
2021-02-08,24.7335,35.6945,23.9587,33.1565,65112371.03
2021-02-15,33.1555,36.9307,27.5,34.0915,52710922.03
2021-02-22,34.0916,34.2185,20.8088,24.7016,81726911.84
2021-03-01,24.6954,31.43,24.5758,28.5932,49934593.44
2021-03-08,28.5918,32.0,26.9326,28.5469,36041117.52
2021-03-15,28.531,31.4325,26.3975,29.2097,31742683.59
2021-03-22,29.2117,29.4444,23.61,26.6588,26021857.83
2021-03-29,26.6576,33.1707,26.18,30.7471,28880692.51
2021-04-05,30.7473,35.12,29.6179,33.8811,36557165.52
2021-04-12,33.8811,44.33,28.8,39.0799,69477395.07
2021-04-19,39.0858,41.99,29.801,31.692,73908888.593
2021-04-26,31.69,41.46,31.363,39.461,38222179.369
2021-05-03,39.461,52.426,38.634,52.269,77539254.631
2021-05-10,52.277,53.0,37.944,40.67,64263918.581
2021-05-17,40.662,44.69,15.0,19.844,130881295.718
2021-05-24,19.849,35.334,19.677,26.818,104694525.543
2021-05-31,26.813,32.856,25.555,27.532,57894803.767
2021-06-07,27.53,28.693,20.0,23.312,64535154.609
2021-06-14,23.314,26.458,19.077,21.646,47741194.771
2021-06-21,21.641,21.881,15.0,18.406,79154452.584
2021-06-28,18.407,20.546,17.256,19.242,42771313.914
2021-07-05,19.238,21.274,17.617,18.383,40958626.984
2021-07-12,18.382,18.609,15.02,15.47,33476497.769
2021-07-19,15.475,17.132,13.384,16.746,43216407.894
2021-07-26,16.745,23.94,16.662,22.062,63559246.414
2021-08-02,22.065,25.157,21.401,23.029,50892360.155
2021-08-09,23.026,27.983,22.072,27.901,42074192.575
2021-08-16,27.901,30.51,24.479,27.982,51848796.17
2021-08-23,27.981,29.3,23.88,25.76,35561782.135
2021-08-30,25.77,33.61,24.3,33.55,44540295.287
2021-09-06,33.54,36.33,23.79,29.42,78940836.514
2021-09-13,29.42,32.11,25.17,27.36,58774686.29
2021-09-20,27.37,27.43,20.82,24.6,67620474.213
2021-09-27,24.59,28.16,22.0,27.57,40055989.51
2021-10-04,27.56,28.19,25.2,25.56,37280101.73
2021-10-11,25.55,28.7,23.53,26.54,42073680.82
2021-10-18,26.54,31.53,25.26,29.7,43769781.11
2021-10-25,29.71,33.91,27.91,30.0,46754287.64
2021-11-01,30.0,33.71,29.14,32.34,32317434.48
2021-11-08,32.34,38.31,31.9,33.75,45183448.835
2021-11-15,33.75,34.5,25.82,28.98,40017542.86
2021-11-22,29.0,29.09,22.63,24.76,39276931.08
2021-11-29,24.76,26.9,15.32,19.48,53054864.546
2021-12-06,19.49,23.2,17.21,20.41,51869164.8
2021-12-13,20.41,20.56,17.26,18.86,40411783.28
2021-12-20,18.86,23.58,18.04,22.98,36714721.63
2021-12-27,22.99,24.49,19.04,21.87,42654436.28
2022-01-03,21.86,28.68,21.25,27.54,116442862.07
2022-01-10,27.54,28.71,23.91,25.5,65270932.21
2022-01-17,25.51,25.62,14.24,16.64,63763653.943
2022-01-24,16.63,18.1,13.48,17.77,58528708.069
2022-01-31,17.76,18.32,15.26,18.07,37637905.3
2022-02-07,18.06,19.54,15.52,15.6,33687319.88
2022-02-14,15.61,17.45,14.39,14.6,27221221.02
2022-02-21,14.61,15.31,11.4,13.64,51939966.15
2022-02-28,13.64,15.87,13.25,13.32,36212349.71
2022-03-07,13.31,14.46,12.42,12.7,36001895.49
2022-03-14,12.71,15.4,12.6,14.54,29387074.58
2022-03-21,14.54,16.91,14.3,16.87,28268684.44
2022-03-28,16.86,18.32,16.16,18.08,32639437.37
2022-04-04,18.07,18.08,15.01,15.24,18945051.32
2022-04-11,15.23,15.28,13.33,13.73,17738146.92
2022-04-18,13.72,14.5,13.14,13.26,18286731.39
2022-04-25,13.27,13.51,10.65,11.31,25720147.8
2022-05-02,11.3,12.29,9.84,10.0,30896660.247
2022-05-09,10.0,10.16,5.53,7.96,84897717.574
2022-05-16,7.97,7.98,6.64,7.33,37329806.84
2022-05-23,7.32,7.81,6.2,6.71,34380679.3
2022-05-30,6.72,7.89,6.65,7.64,33454187.02
2022-06-06,7.64,9.64,6.25,6.27,78549446.39
2022-06-13,6.26,7.51,5.3,6.6,125350638.85
2022-06-20,6.6,7.57,6.31,6.7,52534334.65
2022-06-27,6.7,7.26,5.88,6.22,42913762.39
2022-07-04,6.22,6.84,6.02,6.2,30943193.88
2022-07-11,6.2,6.715,5.7,6.347,44704282.35
2022-07-18,6.347,7.581,6.329,7.094,54271216.39
2022-07-25,7.093,8.21,6.077,7.651,51261062.53
2022-08-01,7.652,8.375,7.02,8.343,33427403.35
2022-08-08,8.343,9.5,8.224,8.765,49030025.35
2022-08-15,8.768,9.057,6.66,7.082,34805015.93
2022-08-22,7.083,7.376,6.226,6.255,26975279.02
2022-08-29,6.255,7.278,6.2,7.156,23818960.84
2022-09-05,7.153,8.173,6.57,8.028,38964089.23
2022-09-12,8.029,8.3,6.982,7.523,43861693.66
2022-09-19,7.524,8.078,6.519,7.865,49097544.52
2022-09-26,7.866,8.54,7.09,7.11,55288358.85
2022-10-03,7.111,7.943,7.01,7.63,29464524.29
2022-10-10,7.628,7.733,6.306,7.173,26000094.74
2022-10-17,7.167,7.374,6.444,7.066,20718202.43
2022-10-24,7.067,7.932,6.791,7.782,32836204.71
2022-10-31,7.783,9.008,7.338,8.101,52282893.53
2022-11-07,8.101,9.47,5.775,6.078,123450762.8
2022-11-14,6.077,6.672,5.69,5.768,45505848.6
2022-11-21,5.767,7.299,5.528,6.902,55155309.99
2022-11-28,6.904,7.812,6.53,7.444,50757599.44
2022-12-05,7.442,7.594,6.646,6.7,26850353.18
2022-12-12,6.698,7.101,5.778,5.949,31651652.97
2022-12-19,5.95,6.12,5.671,5.99,17602954.09
2022-12-26,5.989,6.068,5.387,5.628,18341670.07
2023-01-02,5.63,5.977,5.523,5.963,18474232.48
2023-01-09,5.965,7.107,5.931,6.694,39116761.78
2023-01-16,6.694,7.271,6.256,6.984,42391724.14
2023-01-23,6.983,7.518,6.51,7.372,41473250.31
2023-01-30,7.373,7.484,6.67,6.985,30635728.19
2023-02-06,6.985,7.817,6.685,6.808,43944317.79
2023-02-13,6.81,8.289,6.4,8.014,52097386.55
2023-02-20,8.01,8.4,7.168,7.497,47139283.85
2023-02-27,7.494,7.585,6.655,6.945,24676949.32
